Id,Active,year,SOY_EQUIVALENT_TONNES,LAND_USE_HA,TERRITORIAL_DEFORESTATION_RISK_HA
37d4,false,2004-01-01,4.930875878727338E7,1.7998108891325057E7,1826839.2992566698
4cab,false,2005-01-01,5.0886465295913935E7,2.034103667454878E7,1119979.2279440705
33c9,false,2006-01-01,5.237095611468716E7,2.0389687076722182E7,1211007.8258241192
af48,false,2007-01-01,5.775777950625951E7,1.8446216234239805E7,997979.2253803486
04cf,false,2008-01-01,5.964374976126062E7,1.9606623689346664E7,1095858.6142956172
85a1,false,2009-01-01,5.7318939414451644E7,2.0757723431694753E7,733199.6275130478
bbdf,false,2010-01-01,6.871664999544843E7,2.217678261179491E7,686498.2686336129
743f,false,2011-01-01,7.477808137674594E7,2.2904863626381323E7,911392.5793531245
d073,false,2012-01-01,6.582088485776541E7,2.3823820523884363E7,709154.9472745092
4f30,false,2013-01-01,8.131387074940704E7,2.5756359545395944E7,939543.1866612753
24ad,false,2014-01-01,8.659773721039797E7,2.849457429722917E7,863757.5757851574
9d7e,false,2015-01-01,9.72825229747064E7,3.026176733332717E7,1057462.286761317
d012,false,2016-01-01,9.62862484281163E7,3.1082275815102413E7,859112.455913216
f00a,false,2017-01-01,1.1471081839836343E8,3.1091664047776394E7,885185.1550146126
4b26,false,2018-01-01,1.1777414773834905E8,2.9273194630060654E7,1768782.9344189353
